name;description;inferred_stereotype
Human Resource;The personnel or workforce within an organization.;collective
Finished NC;A noncompliance that has been fully addressed and closed.;phase
NC Action Item;A specific task or action that needs to be completed to address a noncompliance.;kind
Process Occurrence;An instance or execution of a process.;event
Standard Process;A defined and documented way of carrying out an activity or set of activities.;kind
Planned NC;A noncompliance that is anticipated or identified in advance.;phase
NC Issue;An issue or concern related to a noncompliance.;kind
Lesson Learned;Knowledge or understanding gained from a past experience, particularly one that did not go as well as planned.;kind
Identified NC;A noncompliance that has been recognized and documented.;phase
Improvement Suggestion;A proposal for a change or enhancement intended to improve a process, product, or service.;kind
Problem Action Item;A specific task or action that needs to be completed to address a problem.;kind
Issue;A point or matter of discussion, debate, or dispute.;kind
Resolving NC;The process of addressing and rectifying a noncompliance.;process
Implementing Issue;The act of putting an issue into effect or action.;process
Non Effective Issue;An issue that is not producing the desired or intended results.;roleMixin
Cause;The reason or basis for something.;kind
Item Evaluation;The assessment or appraisal of an item.;process
NC Cause;The underlying reason for a noncompliance.;kind
Preventive Action;A measure taken to prevent a noncompliance or problem from occurring.;kind
Cause Identification;The process of determining the root cause of a noncompliance or problem.;process
Planned Issue;An issue that is anticipated or identified in advance.;phase
Person;A human being regarded as an individual.;kind
Finished Issue;An issue that has been fully addressed and closed.;phase
Registered NC;A noncompliance that has been formally recorded and tracked.;phase
Project Process;A defined set of activities performed to achieve the project objectives.;kind
Evaluation Criteria;A set of standards or benchmarks used to assess or judge something.;kind
Effective Issue;An issue that is producing the desired or intended results.;roleMixin
Organization;An organized group of people with a particular purpose.;kind
Process Evaluation Criteria;A set of standards or benchmarks used to assess the effectiveness and efficiency of a process.;kind
Appraiser;A person who assesses the value or quality of something.;role
Objective Evaluation;An evaluation that is based on facts and evidence, rather than personal opinions or feelings.;kind
Evaluation Checklist;A list of criteria or questions used to guide an evaluation.;kind
Corrective Action;A measure taken to rectify a noncompliance or problem that has already occurred.;kind
Canceled NC;A noncompliance that has been withdrawn or annulled.;phase
Employment;The state of having paid work.;situation

Organization;A group of people with a common purpose and defined structure, working towards shared goals.;kind
Finalistico;Relates to a specific objective or purpose within an organization (likely temporary).;phase
Station;A fixed location or facility within an organization dedicated to a particular function or service.;subkind
Administrative Organization;An organization focused on administrative tasks, management, and support services.;subkind
Diagnostic Laboratory;A specialized laboratory performing diagnostic tests and analyses.;subkind
Allocated Department;A department assigned to a specific area, project, or function (temporary assignment).;role
Technical Department;A department focused on technical aspects, expertise, and specialized skills.;subkind
Administrative Support;Activities and services that support administrative functions (clerical, organizational).;subkind
Operational Structure;The framework defining how an organization operates (processes, workflows, systems).;kind
Natural Resources Technician;A technician specializing in managing and preserving natural resources.;subkind
Assignment;The act of allocating a task, role, or resource to someone or something.;relator
Occupational Group;A collection of individuals sharing similar occupations or professions.;collective
Technical Admnistrative Support;Support services combining technical and administrative aspects.;subkind
Administrative Department;A department handling administrative tasks and processes.;subkind
Local Office;An office serving a specific geographical area or community.;phase
Ancillary Server;A server providing supplementary functions to a primary server.;subkind
Allocation Unit;A unit of something (resources, personnel) allocated for a specific purpose.;role
Occupied Position;A position currently filled by an employee (contrasts with vacant).;role
Animal Health Inspector;An inspector specializing in animal health and welfare.;subkind
Laboratory Technician;A technician working in a laboratory setting.;subkind
Office;A space used for work, typically administrative or professional.;subkind
Technical Support;Assistance and guidance provided for technical issues or systems.;subkind
Land Development Technician;A technician specializing in land development and planning.;subkind
Cartography Technician;A technician specializing in mapmaking and geographic data.;subkind
Allocated Office;An office specifically assigned to someone or something.;role
Plant Health Inspector;An inspector specializing in plant health and disease control.;subkind
Service Station;A facility providing a particular service (could be within an organization).;subkind
Organizational Structure;The framework of an organization (hierarchy, departments, relationships).;kind
Ancillary Service;A supplementary service provided in addition to the main service.;subkind
Board;A governing body within an organization, responsible for decision-making.;subkind
Administrative Structure;The framework defining administrative processes and hierarchy.;kind
Structure;The arrangement of elements and their relationships within a system.;category
Section;A distinct part or division of something larger.;subkind
Department Allocation;The process of assigning departments to specific roles or functions.;relator
Person;A human being.;kind
Operational Organization;An organization primarily focused on operational activities.;subkind
Central Office;The main administrative office of an organization.;subkind
Advisory;Relating to the provision of advice or consultation (role or function).;roleMixin
Server;A computer providing services to other computers or users (within a network).;kind
Mobile Unit;A unit that is movable or transportable.;subkind
Server Allocation;The process of assigning servers to specific tasks or users.;relator
Position;A specific job role within an organization.;kind
Regional Office;An office serving a particular geographic region.;phase
Border Station;A station located at a border or boundary.;subkind
Department;A specialized unit within an organization.;subkind

National Trip;A journey taken within the same country.;subkind
Plane;An aircraft that has a fixed wing and is powered by propellers or jets.;kind
Driving License;An official document that permits a person to operate a motor vehicle.;kind
Hotel Reservation;An arrangement made in advance to stay at a hotel.;subkind
Airbnb Reservation;An arrangement made in advance to stay at an Airbnb property.;subkind
Trip;A journey, especially for pleasure or business.;kind
Travel Investment;The amount of money spent on travel.;quality
Departure Date;The date on which a journey begins.;quality
Transportation Mean;A method or mode of transportation.;kind
Car;A road vehicle, typically with four wheels, powered by an internal combustion engine or electric motor.;kind
Departure Place;The place from which a journey begins.;quality
Accommodation;A place to stay, typically a hotel or other lodging.;kind
int;Represents an integer data type.;datatype
Boat Ticket;A ticket that allows a person to travel on a boat.;subkind
Arrival Date;The date on which a journey ends.;quality
Driver;A person who operates a motor vehicle.;role
Adult;A person who is fully grown or developed.;phase
Boat;A watercraft that is used as a means of transportation.;kind
International Tourist;A person who travels to a country other than their own for pleasure or business.;subkind
Train;A series of connected railroad cars pulled by a locomotive.;kind
Bus;A large motor vehicle carrying passengers by road, typically one providing a regular stopping service.;kind
Plane Ticket;A ticket that allows a person to travel on a plane.;subkind
Legal Authorization;Permission granted by law or by a competent authority.;kind
National Tourist;A person who travels within their own country for pleasure or business.;subkind
Train Ticket;A ticket that allows a person to travel on a train.;subkind
Destination;The place to which someone or something is going or being sent.;quality
Arrival Place;The place where a journey ends.;quality
Costumer;A person or organization that buys goods or services.;role
Reservation;An arrangement to have something held for one's use at a later time.;kind
Airbnb;An online marketplace for lodging, primarily homestays for vacation rentals, apartment rentals.;kind
International Trip;A journey taken to a country other than one's own.;subkind
Hotel Room;A private room in a hotel.;subkind
string;Represents a text data type.;datatype
Bus Ticket;A ticket that allows a person to travel on a bus.;subkind
Route;A way or course taken.;kind
Child;A young human being below the age of puberty or below the legal age of majority.;phase
Person;A human being regarded as an individual.;kind
National Destination;A destination within the same country.;subkind
Tourist;A person who is traveling or visiting a place for pleasure.;role
Date;A particular day or year (or a combination of these), regarded as a point in time.;quality
International Destination;A destination in a country other than one's own.;subkind
Origin;The point or place where something begins, arises, or is derived.;quality
Ticket;A printed piece of paper that entitles the holder to a specified service, right, or privilege.;kind
Passenger;A person who is traveling in a vehicle, aircraft, boat, etc.;role

ResidentPerson;A person who resides in a particular place.;role
EfficientCause;The agent or force that brings about a change or effect. One of Aristotle's four causes.;role
NaturalPhilosophy-Physics;The study of the natural world, its properties, and how it behaves. In the Aristotelian context, it encompasses physics.;subkind
InQuality;A type of change related to the alteration of an object's qualities or properties.;subkind
Denial;A statement that contradicts an assertion or claim.;kind
Mood;A temporary emotional state or disposition.;phase
EssentialUniversal-SecondarySubstance;Universals that are essential to the being of their particulars. In Aristotelian metaphysics, these correspond to secondary substances (e.g., species and genera).;category
Right;A moral or legal entitlement to have or do something.;kind
Lawgiver;A person who creates or enacts laws.;role
Mean;The intermediate point between two extremes. Central to Aristotle's ethical theory.;quality
Polity;A form of government, particularly a state or its structure and organization. Often used by Aristotle to describe a well-governed state.;kind
PracticalMind;The aspect of the mind concerned with deliberation, choice, and action.;subkind
PoliticalOffice;A position of authority or responsibility within a government or political system.;role
Dance;A type of art form involving rhythmic body movements.;kind
SpokenWord;A word that is uttered aloud.;subkind
Health;The state of being free from illness or injury.;quality
MentalState;The condition of a person's mind or emotions.;phase
Nutrition;The process by which living organisms obtain and utilize food.;kind
Past;The time or period of time before the present.;phase
Before&AfterInChange;The temporal relationship between states or entities involved in a process of change.;relator
Memory;The faculty by which the mind stores and retrieves information.;kind
Citizen;A legally recognized subject or national of a state or commonwealth.;role
EssentialParticular-PrimarySubstance;Particulars that are the fundamental entities of existence. In Aristotelian categories, they are primary substances (e.g., this specific man, that particular horse).;category
Proof;Evidence or argument establishing or helping to establish a fact or the truth of a statement.;kind
Genus;A principal taxonomic category that ranks above species and below family, and is denoted by a capitalized Latin name.;subkind
LivingBeing;An organism that exhibits life processes.;kind
Syllogism;A kind of logical argument that applies deductive reasoning to arrive at a conclusion based on two propositions that are asserted or assumed to be true.;kind
SupremeGenus-HighestKind;The most general category in a system of classification. In Aristotelian metaphysics, this is often considered to be 'Being'.;category
DifferentiaForGenus;The essential characteristic that distinguishes one genus from another.;relator
Mathematics;The abstract science of number, quantity, and space, either as abstract concepts (pure mathematics), or as applied to other disciplines such as physics and engineering (applied mathematics).;kind
Species;A group of living organisms consisting of similar individuals capable of exchanging genes or interbreeding.;subkind
Virtue;Behavior showing high moral standards.;quality
Particular;An individual thing or entity, as opposed to a universal or abstract concept.;kind
Earth;"The planet on which we live; the world.";kind
Actuality;"The state of being actual or real; reality. Contrasted with potentiality in Aristotelian philosophy.";phase
AstronomicalTheory;A theory about celestial objects and phenomena.;kind
SmellPerception;The perception of odors.;subkind
Ruler;A person exercising government or dominion.;role
PracticalWisdom;The ability to make sound judgments about practical matters.;quality
Aristocracy;A form of government in which power is held by the nobility.;subkind
Medicine;The science or practice of the diagnosis, treatment, and prevention of disease.;kind
NaturalMotion;Motion that is inherent to an object's nature (e.g., a stone falling to the ground).;subkind
ImpetuousPerson;A person who acts without thinking or considering the consequences.;role
ChangeInQuantity;Alteration in the amount or magnitude of something.;subkind
SubordinateGoal;A goal that is pursued in order to achieve a higher-level goal.;subkind
Intelligible Form;Forms that are grasped by the intellect and exist in the realm of Forms. They are the perfect, eternal, and unchanging archetypes of things in the sensible world.;kind
ConstitutionalForm;The form or structure of a constitution.;kind
Form;The essence or essential nature of something. One of the most important concepts in Platonic and Aristotelian philosophy.;category
Premise;A proposition antecedently supposed or proved as a basis of argument or inference.;kind
Democracy;A system of government by the whole population or all the eligible members of a state, typically through elected representatives.;subkind
FormedMatter;Matter that has taken on a specific form.;subkind
Politician;A person who is professionally involved in politics.;role
Constitution;A body of fundamental principles or established precedents according to which a state or other organization is acknowledged to be governed.;kind
ChangeInPlace;A change in location or position.;subkind
Subject;That which is under discussion or consideration.;kind
TheroraticalWisdom;Wisdom that is concerned with theoretical or abstract knowledge.;quality
FormalCause;The structure or design of something. Another of Aristotle's four causes.;role
Dry;"Free from moisture or liquid; not wet or moist.";quality
Meaning;What is meant by a word, text, concept, or action.;kind
Mover(ActiveObject);An object that is the source of motion or change.;role
Present;The time now passing.;phase
AccidentalParticular-NonSubstantialParticular;Particulars that are not essential to the being of a substance. For example, 'being red' is accidental to the substance 'apple.';category
PassivePotentiality;The potential to be acted upon or changed.;subkind
WrittenWord;A word that is written down.;subkind
Ship-building;The activity or business of building ships.;kind
Perception;The ability to see, hear, or become aware of something through the senses.;kind
Universe;"All existing matter and space considered as a whole; the cosmos.";kind
ChangeInSubstance;"A fundamental change in the nature or essence of something; often referring to generation and corruption in Aristotelian terms.";subkind
LivingBody;The physical structure of a living organism.;subkind
ProductiveSciences;Sciences aimed at making or producing things, such as engineering or crafts.;subkind
Botany;The scientific study of plants, including their physiology, structure, genetics, ecology, distribution, classification, and economic importance.;subkind
TouchPerception;"The ability to perceive through physical contact; the sense of touch.";subkind
CommonSense;Good sense and sound judgment in practical matters.;quality
InQuantity;A category related to the quantity or amount of something.;subkind
Potentiality;"The quality of having potential; the inherent capacity for development or future activity. A key concept alongside actuality in Aristotle's metaphysics.";phase
Imagination;The faculty or action of forming new ideas, or images or concepts not present to the senses.;kind
Extreme;"The furthest or highest degree of something; the extreme limit of something.";quality
Politics;The activities associated with the governance of a country or other area, especially the debate or conflict among individuals or parties having or hoping to achieve power.;kind
Cause;A person or thing that gives rise to an action, phenomenon, or condition.;role
UnmovedMover;"A concept in Aristotle's cosmology; the first cause of all motion which itself remains unmoved.";kind
Psychology;The scientific study of the human mind and its functions, especially those affecting behavior in a given context.;kind
Mind;"The element of a person that enables them to be aware of the world and their experiences, to think, and to feel; the faculty of consciousness and thought.";kind
ForcedMotion;Motion that is imposed on an object by an external force (e.g., pushing a book across a table).;subkind
Goal;"The object of a person's ambition or effort; an aim or desired result.";kind
MaterialCause;The matter out of which something is made. One of Aristotle's four causes.;role
HearPerception;"The ability to perceive sound; the sense of hearing.";subkind
ObjectOfPerception;Something that is perceived by the senses.;role
Cold;Of or at a low temperature.;quality
Change;The act or instance of making or becoming different.;event
Thinking;The process of using one's mind to consider or reason about something.;kind
boolean;A data type having two possible values (typically true and false).;kind
VirtuousPerson;A person who possesses and practices virtue.;role
ResidentPopulation;The population of people who reside in a particular place.;collective
Biology;The study of living organisms, divided into many specialized fields that cover their morphology, physiology, anatomy, behavior, origin, and distribution.;subkind
Differentia;A distinguishing feature or characteristic.;kind
Before&AfterInTime;The temporal relationship between events or states.;relator
Moved(PassiveObject);An object that is moved by an external force.;role
Object;A material thing that can be seen and touched.;kind
Before&AfterInPlace;The spatial relationship between objects or locations.;relator
Non-Citizen;A person who is not a citizen of a particular state or country.;role
Term;A word or phrase used to describe a thing or to express a concept, especially in a particular kind of language or branch of study.;kind
CelestialSphere;An imaginary sphere of which the observer is the center and on which all celestial objects are considered to lie.;kind
FinalCause;The purpose or end for which something is done or exists. The last of Aristotle's four causes.;role
DifferentiaForSpecies;The characteristic that distinguishes one species from another within a genus.;relator
TheoreticalSciences;Sciences aimed at knowledge for its own sake, such as metaphysics or mathematics.;subkind
Wet;Covered or saturated with water or another liquid.;quality
SublunaryBody;In Aristotelian cosmology, bodies that exist below the moon's orbit and are subject to change and decay.;subkind
Hot;Having a high temperature.;quality
EthicalVirtue;A virtue related to a person's character and how they behave in moral situations.;subkind
SeePerception;"The ability to see; sight.";subkind
HighestGoal;The ultimate or most important goal.;subkind
string;A sequence of characters.;kind
Community;A group of people living in the same place or having a particular characteristic in common.;collective
EvilPerson;A person who is characterized by evil intentions or actions.;role
CorrectForm;A form that is considered to be correct or proper.;subkind
Being;Existence, especially as contrasted with non-existence. A fundamental concept in metaphysics.;category
Time;The indefinite continued progress of existence and events in the past, present, and future regarded as a whole.;kind
Fire;Combustion or burning, in which substances combine chemically with oxygen from the air and typically give out bright light, heat, and smoke.;kind
Nature;The phenomena of the physical world collectively, including plants, animals, the landscape, and other features and products of the earth, as opposed to humans or human creations.;kind
SpecialSciences;Sciences that focus on specific domains of inquiry, such as physics, biology, or psychology.;subkind
TheoreticalMind;The part of the mind concerned with abstract thought and reasoning.;subkind
DeviantForm;A form that deviates from the norm or the correct form.;subkind
Wealth;An abundance of valuable possessions or money.;quality
Knowledge (ofObject);"The state of knowing about something; familiarity, awareness, or understanding gained through experience or study.";kind
Aether;The pure, upper air that was said to be breathed by the gods. In Aristotelian physics, it's the fifth element making up celestial bodies.;kind
Before&After;A general relation indicating temporal order.;relator
Convention;A way in which something is usually done, especially within a particular area or activity.;kind
Oligarchy;A small group of people having control of a country, organization, or institution.;subkind
FirstPhilosophy-Metaphysics;The branch of philosophy that deals with the first principles of things, including abstract concepts such as being, knowing, substance, cause, identity, time, and space.;subkind
Person;A human being regarded as an individual.;kind
GoldenMean;The ideal moderate position between two extremes.;quality
Music;Vocal or instrumental sounds (or both) combined in such a way as to produce beauty of form, harmony, and expression of emotion.;kind
IncontinentPerson;A person who lacks self-control, especially in relation to their appetites and desires.;role
TastePerception;"The ability to perceive flavors; the sense of taste.";subkind
NameBearerObject;An object that is the bearer of a name.;role
Kingship;The state of being a king or queen.;subkind
Assertion;A confident and forceful statement of fact or belief.;kind
ActivePotentiality;The potential to act or cause change.;subkind
Reproduction;The process by which living beings produce offspring.;kind
Air;The invisible gaseous substance surrounding the earth, a mixture mainly of oxygen and nitrogen.;kind
CelestialBody;A natural object outside of Earth's atmosphere, such as the Moon, the Sun, another star, planet, or asteroid.;kind
PracticalSciences;Sciences that deal with the application of knowledge to practical problems.;subkind
ChangeInQuality;A change in the qualities or properties of something.;subkind
Passive Intellect;The aspect of the intellect that receives information from the senses.;subkind
ContinentPerson;A person who exercises self-control over their desires and appetites.;role
Matter;"Physical substance in general, as distinct from mind and spirit; (in physics) that which occupies space and possesses rest mass, especially as distinct from energy.";kind
MiddleTerm;The term that appears in both premises but not in the conclusion of a syllogism.;role
Word;A single distinct meaningful element of speech or writing, used with others (or sometimes alone) to form a sentence and typically shown with a space on either side when written or printed.;kind
Territory&Assets;The geographical area and possessions of a state, organization, or individual.;collective
VirtuousActivity;An activity that is considered to be virtuous or morally good.;subkind
Predicate;The part of a sentence or clause containing a verb and stating something about the subject.;kind
WeakPerson;A person who lacks strength of character or resolve.;role
InSubstance;A category related to the essential nature of something.;subkind
City-State;A city that with its surrounding territory forms an independent state.;kind
GoodLife;A life that is considered to be good or worthwhile.;quality
Soul;The spiritual or immaterial part of a human being or animal, regarded as immortal.;kind
Arts;The various branches of creative activity, such as painting, music, literature, and dance.;collective
Future;The time or a period of time following the moment of speaking or writing.;phase
Ethics;Moral principles that govern a person's behavior or the conducting of an activity.;kind
Number;An arithmetical value, expressed by a word, symbol, or figure, representing a particular quantity and used in counting and making calculations.;kind
Happiness;The state of being happy.;quality
IntelectualVirtue;A virtue related to the mind or intellect.;subkind
AccidentalUniversal;Universals that are not essential to the being of their particulars. For example, 'being red' is an accidental universal for 'apple'.;category
PerceptiveFaculty;A faculty of the mind involved in perception.;kind
Science-Knowledge;Systematic knowledge of the physical or material world gained through observation and experimentation.;kind
SublunaryMatter;Matter that exists below the moon's orbit.;subkind
PrimeMatter;In Aristotelian metaphysics, the formless substratum underlying all material existence.;kind
Agriculture;The science or practice of farming, including cultivation of the soil for the growing of crops and the rearing of animals to provide food, wool, and other products.;kind
Element;A part or aspect of something abstract, especially one that is essential or characteristic.;kind
Desire;A strong feeling of wanting to have something or wishing for something to happen.;kind

Pore Fluid;Fluid occupying the spaces within a porous material, such as a rock or sediment.;subkind
Rock Physical Weathering;The breakdown of rocks into smaller pieces by physical processes, without changing the chemical composition.;subkind
Pore Filling;The material that occupies the pores within a rock or sediment, such as water, air, or minerals.;role
Pore Water;Water that occupies the pores within a rock or sediment.;subkind
Source Rock;A rock that contains organic matter that can be transformed into hydrocarbons (oil and gas) under heat and pressure.;role
Broken-down Rock;Rock that has been weathered and eroded into smaller pieces.;phase
Chemical Weathering;The breakdown of rocks through chemical reactions that alter the mineral composition.;subkind
Rock;A naturally occurring solid material composed of one or more minerals.;subkind
Particle Size Average;The average size of particles in a material, such as sediment or soil.;quality
Mass;A fundamental property of matter representing its resistance to acceleration.;quantity
Sediment Physical Weathering;The physical breakdown of sediments into smaller pieces.;subkind
Broken-down Sediment and Rock;A mixture of weathered and eroded rock and sediment fragments.;phase
Geological Solid Object exposed to surface conditions;A general term for any solid geological material that is present on the Earth's surface.;phase
Rock Object;A distinct, individual instance of a rock.;subkind
Broken-down Sediment;Sediment that has been broken down into smaller pieces by weathering and erosion.;phase
Chemical altered Geological Solid Object;A geological solid object whose chemical composition has been changed by weathering or other processes.;phase
Weathering;The process of breaking down rocks, soil, and minerals through contact with the Earth's atmosphere, water, and biological organisms.;subkind
Sediment exposed to physical stress due to surface exposition;Sediment that is subject to physical weathering processes due to its exposure to the environment.;phase
Water;A colorless, transparent, odorless, tasteless liquid that forms the seas, lakes, rivers, and rain and is the basis of the fluids of living organisms.;subkind
Earth Material;Any material that makes up the Earth, including rocks, minerals, soil, water, and gases.;subkind
Earth Fluid;Any fluid found on or within the Earth, such as water, oil, magma, or natural gas.;subkind
Physical Weathering;The geological process of rocks breaking apart without changing their chemical composition.;subkind
Fracture Density;The number of fractures in a rock per unit of length, area, or volume.;quality
Petrographic Composition;The description and classification of rocks based on the minerals they contain and their textures.;quality
Solar Radiation;Radiant energy emitted by the sun.;subkind
Meteoric Water;Water derived from precipitation, such as rain, snow, or hail.;subkind
Broken-down Geological Solid Object;A general term for any geological solid material that has been weathered and eroded into smaller pieces.;phase
Geological Solid Object infilled with Meteoric Water;A geological solid object that contains meteoric water in its pores or fractures.;phase
Geological Solid Object exposed to physical stress due to surface exposition;A geological solid object that is subject to physical weathering processes due to its exposure to the environment.;phase
Biological Entity;Any living organism, such as a plant, animal, or microbe.;kind
Weathered Geologic Solid Object;A geological solid object that has been altered by weathering processes.;phase
Geological Solid Object;A general term for any solid material that is part of the Earth's crust.;subkind
Chemically altered Geological Solid Object;A geological solid object that has undergone changes in its chemical composition.;phase
Rock exposed to physical stress due to surface exposition;Rock that is subject to physical weathering due to its exposure at the Earth's surface.;phase
Sediment;Solid fragments of rock, minerals, or organic material that are transported and deposited by wind, water, or ice.;subkind
Sediment Object;A distinct, individual instance of sediment.;subkind
Geological Object;A general term for any discrete object that is part of the Earth's system.;kind
Geochemical Composition;The chemical makeup of Earth materials, including the abundance and distribution of elements and isotopes.;quality
Earth Solid;Any solid material that makes up the Earth, including rocks, minerals, and soil.;subkind

Allelic Variant;An alternative form of a gene that arises by mutation and is found at the same place on a chromosome.;subkind
Allelic Reference;A representative sequence used as a basis for comparison with other sequences of the same gene.;role
Record;A collection of related data items, often used in the context of databases.;kind
RefSeq;A comprehensive, integrated, non-redundant, well-annotated set of sequences, including genomic DNA, transcript (RNA), and protein products.;kind
Chromosome;A threadlike structure of nucleic acids and protein found in the nucleus of most living cells, carrying genetic information in the form of genes.;kind
Inserted Nucleotide;A nucleotide that is added to a DNA or RNA sequence.;roleMixin
Insertion;The addition of one or more nucleotide base pairs into a DNA sequence.;event
Allele;One of two or more alternative forms of a gene that arise by mutation and are found at the same place on a chromosome.;kind
Gene;A unit of heredity which is transferred from a parent to offspring and is held to determine some characteristic of the offspring.;kind

User Action;An action performed by a user within a system.;event
Event (Perdurant);An occurrence that unfolds over a period of time, specifically in the context of perdurants (entities that persist through time).;event
Situation;A particular set of circumstances or state of affairs at a given point in time.;situation
User Malicious Intention;The intent of a user to cause harm or damage to a system.;subkind
Fault Manifestation Failure;A failure that occurs when a fault in a system manifests itself.;subkind
User-generated Failure;A failure caused by the actions of a user.;subkind
Failure State;The state of a system when it is not functioning correctly.;situation
Disposition;An inclination or tendency to act in a certain way.;category
Defect;An imperfection or flaw in a system that may lead to a failure.;kind
Fault (Runtime Defect);A defect that exists in a system during its runtime.;subkind
Belief;Something that is accepted as true or real.;kind
User False Belief;A belief held by a user that is not true.;subkind
Intentional User-generated Failure;A user-generated failure that is caused intentionally.;subkind
Non-intentional User-generated Failure;A user-generated failure that is not caused intentionally.;subkind
Mental Moment;A brief period of time during which a thought or belief is held.;subkind
Usage Limit Vulnerability;A vulnerability that exists when a system can be exploited by exceeding its usage limits.;subkind
Failure;The inability of a system to perform its required function.;event
Object;Anything that exists and can be perceived by the senses.;category
Program;A set of instructions that tell a computer what to do.;kind
Agent;A person or thing that acts or has the power to act.;category
Hardware Equipment;The physical components of a computer system.;kind
Hardware Vulnerability;A vulnerability that exists in the hardware of a system.;subkind
Loaded Program Vulnerability;A vulnerability that exists in a program that has been loaded into memory.;subkind
Intention;A plan or decision to do something.;kind
Loaded Program Copy;A copy of a program that has been loaded into memory.;subkind
Artifact;An object made by a human being, typically of cultural or historical interest.;kind
Vulnerable State;The state of a system when it is susceptible to attack.;situation
Action;The process of doing something to achieve an aim.;event
Code;Instructions for a computer, written in a programming language.;kind
User;A person who uses a computer or network service.;role
Vulnerability;A weakness or flaw in a system that can be exploited by a threat.;kind
Stakeholder;A person with an interest or concern in something, especially a business.;role
Erroneous User Action;A user action that is incorrect or leads to an undesirable outcome.;subkind
Endurant;An entity that persists through time and can undergo changes.;category

Learning Manager;A system or platform that manages learning activities and resources.;kind
Skill;An ability or proficiency acquired through training or experience.;kind
NACE Section;A specific category or classification within the NACE framework.;subkind
Offer;A proposal or proposition, potentially related to learning opportunities.;kind
Settings;Configurable options or preferences within the system.;kind
Occupation;A type of job or profession.;kind
Follow;The act of subscribing to or tracking updates from a user, topic, or resource.;relator
Podcast;A digital audio file made available on the internet for downloading.;kind
Job Description;A formal account of the duties and responsibilities of a specific job.;kind
Upvotable;Something that can receive upvotes, indicating positive feedback or agreement.;roleMixin
NACE Division;A broader category within the NACE framework, encompassing multiple sections.;subkind
Public Interaction;An interaction or engagement that is visible to the general public.;subkind
Learning Path;A structured sequence of learning activities or resources.;kind
Labor Record;A history or record of a person's work experience.;kind
Logged Visitor;A visitor to the system who is currently authenticated or logged in.;role
Anonymous Visitor;A visitor to the system who is not authenticated or logged in.;role
Public Resource;A resource that is accessible to the general public.;subkind
Interaction;An instance of communication or engagement between two or more entities.;kind
Popular Occupation;An occupation that is in high demand or highly sought after.;roleMixin
IP Visitor;A visitor to the system identified by their IP address.;roleMixin
Country;A nation with its own government, occupying a particular territory.;kind
Video;A recording of moving visual images made digitally or on videotape.;kind
View;The act of accessing or displaying content or information.;relator
Search;The act of looking for specific information or resources.;event
Terms;Words or phrases used in a specific context, often for searching or categorization.;collective
Link;A connection or reference from one resource to another.;relator
Component;A constituent part or element of a larger system or entity.;relator
Popular Skill;A skill that is in high demand or widely sought after.;roleMixin
Editable;Something that can be modified or altered.;roleMixin
Collection;A group or gathering of similar items or resources.;collective
Delete;The act of removing or eliminating something.;relator
Course;A series of lessons or modules on a particular subject.;kind
Feed;A stream of updates, content, or information.;kind
NACE Group;A grouping or category within the NACE classification system.;subkind
Comment;A written remark, observation, or response.;kind
Economic Activity Classification NACE;A standard classification system for economic activities.;kind
Creation;The act of bringing something into existence.;relator
Commentable;Something that allows comments to be added.;roleMixin
Followable;Something that can be followed, such as a user, topic, or resource.;roleMixin
School;An institution for educating children.;kind
Upvote;A vote to indicate approval or agreement.;relator
User;A person who uses a computer or network service.;role
Education Record;A history or record of a person's education.;kind
Edit;The act of making changes or modifications.;relator
Book;A written or printed work consisting of pages glued or sewn together along one side and bound in covers.;kind
Record;A thing constituting a piece of evidence about the past, especially an account kept in writing or some other permanent form.;kind
Resource;A stock or supply of money, materials, staff, and other assets that can be drawn on by a person or organization in order to function effectively.;kind
Cookie consent;The agreement of a user to allow a website to store cookies on their computer.;kind
Tag;A keyword or term assigned to a piece of information (such as an Internet bookmark, digital image, or computer file) to make it easier to search for and to organize.;kind
Subject;An area of knowledge that may be studied in school, college, or university.;kind
Private Interaction;An interaction or engagement that is not visible to the general public.;subkind
Company;A commercial business.;kind
NACE Class;A level or category within the NACE classification hierarchy.;subkind
Occupation Popularity;A measure of how popular or in-demand an occupation is.;quality
Corporate Resource;A resource that is owned or controlled by a corporation.;subkind
Corporate User;A user who is affiliated with or employed by a corporation.;role
Skill Popularity;A measure of how popular or in-demand a skill is.;quality
Organization;An organized group of people with a particular purpose, such as a business or government department.;kind
Creatable;Something that can be created.;roleMixin
Popular Selection;A selection that is popular or frequently chosen.;roleMixin
Deletable;Something that can be deleted.;roleMixin
Comment0;Unclear. Requires further context to define and assign a stereotype.
Viewable;Something that can be viewed or accessed.;roleMixin
Selection;The act of choosing something.;event

PhD;A doctorate-level academic degree, typically requiring extensive research and a dissertation.;subkind
Secondary Azhar;A type of secondary education system associated with Al-Azhar University or institutions following its curriculum.;subkind
Schedule;A plan for carrying out a process or procedure, giving lists of intended events and times.;kind
Kind;A fundamental category of entity, existing independently.  (Note: This seems out of place in the list, consider revising.);kind
Results;The outcome or consequence of an action or process.;kind
Flight;A journey made by air, typically in an airplane.;kind
Visa;An endorsement on a passport indicating that the holder is allowed to enter, leave, or stay for a specified period of time in a country.;kind
Traveler;A person who is traveling or who often travels.;role
Enrollment;The act of officially joining a school or course.;kind
Nile School;This needs further context. Is it a specific school with the name 'Nile School'? If so, it's a 'subkind'.
