name;stereotype;number;description;inferred_stereotype
PPV Fixo;subkind;81;;None
PPV Móvel;subkind;81;;None
PRCS Description;category;133;A document or statement defining the characteristics and details of a Passenger Rail Chartered Service.;kind
PRCS Offering Claim;mode;133;An assertion or statement made regarding the availability or characteristics of a Passenger Rail Chartered Service.;kind
PRCS Offering Commitment;mode;133;A pledge or guarantee made regarding the provision of a Passenger Rail Chartered Service.;kind
PRSegment;subkind;105;The PR segment in an electrocardiogram (ECG) representing the time between the start of atrial depolarization and ventricular depolarization.;kind
PVA Component;mode;61;An element or factor that contributes to the Psychological Value Ascription.;relator
PWave;subkind;105;The P wave in an electrocardiogram (ECG) representing atrial depolarization.;kind
PacemakerCells;subkind;105;Specialized cells in the heart that generate electrical impulses to regulate the heartbeat.;subkind
PacemakerSANodeMyocytes;collective;105;Pacemaker cells within the sinoatrial node.;subkind
Paciente;role;77;A person receiving medical treatment.;role
Pagamento;relator;100;The act of paying a sum of money.;event
Pagamento de Compra de Produto;relator;81;;None
Pagamento de Imposto;relator;81;Tax payment.;event
Pagamento de Imposto sobre Resultado;relator;81;;None
Pagamento de Imposto sobre Serviço;relator;81;;None
Pagamento de Pedágio;relator;81;Toll payment.;event
Pagante;roleMixin;81;;None
Pai;role;81;;None
Painter;role;124;;None
Painting;kind;124;;None
PalliativeProcedure;subkind;90;;None
Panama-class Ship;subkind;124;;None
Panic;subkind;7;;None
Pantanal;subkind;118;A natural region encompassing the world's largest tropical wetland area.;subkind
Paper And Pencil;kind;7;;None
Paper Document;kind;63;;None
Parada de Ônibus;kind;81;;None
Paragraph;kind;82;A distinct section of a piece of writing, usually dealing with a single theme and indicated by a new line, indentation, or numbering.;kind
Parameter Variabe;subkind;108;;None
Parcela de Pagamento do Seguro;kind;81;An insurance payment installment.;kind
Parecer Técnico;kind;81;;None
Parecer Técnico Sobre Obra;role;81;;None
Parent;role;96;A person's father or mother.;role
Parente;role;81;;None
Parente Direto;role;81;;None
Parente de 1º Grau;role;81;;None
Parente de 2º Grau;role;81;;None
Parente de 3º Grau;role;81;;None
Parente de 4º Grau ou Maior;role;81;;None
Parente em Linha Colateral;role;81;;None
Parente em Linha Reta;role;81;;None
Parente por Afinidade;role;81;;None
Parenthood;relator;8;The state of being a parent.;role
Parity;datatype;42;The state or condition of being equal, especially regarding status or pay.;quality
Park;subkind;106;A large public garden or area of land used for recreation.;subkind
Part;collective;82;A piece or segment of something larger.;subkind
Part Time;subkind;117;For only part of the usual working day or week.;mode
Part Time Internship;relator;110;An internship that involves working a part-time schedule, offering flexibility for students.;subkind
Parte;collective;81;;None
Parte Dupla;subkind;81;Double-entry bookkeeping.;kind
Parte Especial;subkind;81;;None
Parte Geral;subkind;81;;None
Parte Múltipla;subkind;81;;None
Partial Ownership;subkind;63;A situation where multiple parties have ownership rights or claims to a single asset or entity.;situation
Partially Implemented;phase;125;A state indicating partial implementation.;phase
Participant;role;38;An entity that takes part in an event or activity.;role
ParticipantInCollection;role;118;An entity that participates in a collection.;roleMixin
ParticipantWithQuestion;role;38;A participant who has posed a question.;role
ParticipantWithanswer;role;38;A participant who has provided an answer.;role
Participação em Empresa;roleMixin;81;;None
Particle Size Average;quality;52;The average size of particles in a material, such as sediment or soil.;quality
Particular;subkind;51;An individual thing or entity, as opposed to a universal or abstract concept.;kind
Partnership;kind;7;A cooperative relationship between two or more players, often involving shared goals and resources.;kind
Parágrafo;kind;81;;None
Parágrafo Composto;subkind;81;;None
Parágrafo Simples;subkind;81;A single paragraph.;kind
Parágrafo Vetado;subkind;81;;None
Parâmetro de Desempenho;kind;81;;None
Passagem de Pedestre;kind;81;;None
Passarela;subkind;81;;None
Passenger;role;50;A person who is traveling in a vehicle, aircraft, boat, etc.;role
Passenger Car;subkind;96;;None
Passive;role;95;Not actively participating or operating.;phase
Passive Agent;roleMixin;23;An agent that does not initiate an action but is affected by it.;roleMixin
Passive Intellect;role;51;The aspect of the intellect that receives information from the senses.;subkind
Passive Juridical Person;role;23;A non-human legal entity (e.g., corporation) that is the victim or target of a crime.;role
Passive Person;role;23;An individual who is the victim or target of an action or event, but not actively involved.;role
Passive Society;role;23;Society as the victim or target of an action or event.;role
PassivePotentiality;role;51;The potential to be acted upon or changed.;subkind
Passivo;kind;81;Liabilities.;kind
Passivo Composto;subkind;81;Compound liabilities.;kind
Passivo Simples;subkind;81;;None
Past;phase;51;The time or period of time before the present.;phase
PatanalRegion;category;118;A region characterized by the Pantanal wetlands.;subkind
Patent;subkind;127;A government authority or license conferring a right or title for a set period, especially the sole right to exclude others from making, using, or selling an invention.;kind
Path Bidirectional Matrix;subkind;103;;None
Path Connected Reference Point;roleMixin;103;;None
Path LC;subkind;103;;None
Path LC Bi Component;role;103;A bidirectional component of a logical component (LC) for a path.;roleMixin
Path LC Forwarding;relator;103;Forwarding of traffic on a path using logical components (LC).;subkind
Path Layer Network;role;103;;None
Path Layer Network_2;subkind;103;;None
Path Layer Termination;subkind;103;;None
Path NC Forwarding;relator;103;;None
Path-Path Client Layer;role;103;;None
Path-Path Layers AF;subkind;103;;None
Path-Section Client Layer;role;103;;None
Path-Section Layers AF;subkind;103;Adaptation functions (AF) that operate between the path and section layers.;subkind
Pathogen;category;115;A bacterium, virus, or other microorganism that can cause disease.;kind
PathogenCollective;collective;115;A group or collection of pathogens.;collective
PathogenSign;relator;115;An observable indication of the presence of a pathogen.;kind
PathogenType;type;115;A category or classification of pathogen.;kind
PathologicalAppleSubstance;phase;115;A substance found in an apple that is indicative of a disease.;kind
Patient;role;90;A person receiving or registered to receive medical treatment.;role
PatientReport;relator;90;;None
Pattern;kind;7;A recurring and recognizable arrangement or sequence, often central to puzzle-solving, strategy, or aesthetic appreciation.;kind
Pattern Building;kind;7;A game mechanic where players arrange elements in specific configurations to score points, trigger effects, or solve puzzles.;kind
Pattern Recognition;kind;7;;None
Pavimento Flexível;subkind;81;;None
Pavimento Rodoviário;quantity;81;Road pavement.;kind
Pavimento Rodoviário Ideal;phase;81;;None
Pavimento Rodoviário com Defeito;phase;81;;None
Pavimento Rígido;subkind;81;;None
Pavimento Semirrígido;subkind;81;;None
Payload;NonPerceivableQuality;93;The data or information carried within a transaction or message.;kind
Payment;relator;6;The transfer of money or other forms of value to settle a debt or in exchange for goods or services.;relator
País;kind;81;A country.;kind
Peace;subkind;7;;None
Pedagogical activity;kind;91;A structured activity designed to facilitate learning and achieve specific educational objectives.;subkind
Pedagogical architecture;kind;91;;None
Pedagogical method;category;91;;None
Pedagogical objective intention;mode;91;The intended learning outcomes or goals of a pedagogical activity.;subkind
Penalidade;mode;81;;None
Penalidade Aplicada;mode;81;;None
Penalidade Prevista;mode;81;;None
People;kind;109;A general term for human beings.;kind
Perceived image (Perception);kind;126;The subjective understanding or interpretation of a brand by an individual or group.;quality
Perceived value;quality;72;The subjective assessment of worth or importance that an agent assigns to an object or service based on their individual experiences, beliefs, and needs.;quality
Percentage;datatype;24;A ratio expressed as a fraction of 100.;kind
Perception;mode;85;The process of becoming aware of something through the senses.;event
PerceptiveFaculty;kind;51;A faculty of the mind involved in perception.;kind
Perfomed Composite Activity;event;30;A composite activity that has been performed. unclear if this is distinct from Performed Composite Activity;phase
Performability;roleMixin;120;The ability of a system to meet performance requirements, such as speed, responsiveness, and resource utilization.;quality
Performance Evaluation;kind;66;The process of assessing an individual's or organization's work and achievements against predetermined objectives or standards.;relator
Performance Level;quality;12;The degree to which someone or something fulfills its intended purpose or function.;quality
PerformativeVerb;kind;85;A verb that performs an action when uttered (e.g., promise, request, apologize).;kind
Performed Activity;event;101;An instance of an activity being carried out.;event
Performed Composite Activity;event;83;The act of carrying out a composite or complex activity.;phaseMixin
Performed General Process;event;83;An instance of a general process being executed.;event
Performed Organizational Process;event;83;An instance of an organizational process that has been executed or carried out.;phase
Performed Process;event;30;The act of carrying out a process.;phaseMixin
Performed Project Process;event;101;An instance of a project process that has been carried out.;phase
Performed Schedule;mode;84;A record of the actual execution of tasks or activities, reflecting their completion status and deviations from the planned schedule.;kind
Performed Simple Activity;event;30;The execution of a basic, indivisible unit of work.;event
Performed Specific Process;event;94;The execution of a specific, defined process.;event
Performer Artist;mixin;46;An artist who performs their work in front of an audience.;subkind
Periferico;subkind;95;Portuguese for Peripheral;kind
Period(ms);datatype;105;A length or portion of time, measured in milliseconds.;quantity
Periodical;subkind;58;A magazine or newspaper published at regular intervals.;kind
Peripheral;subkind;95;An auxiliary device that connects to a computer.;kind
Peripherals;kind;105;The outer or less important parts of a system.;kind
PeripheralsAsBloodContainer;role;105;Peripheral parts of the body acting as a container for blood.;role
PeripheralsBloodStoring;relator;105;The process of the peripheral parts of the body storing blood.;event
Periódico;kind;102;A publication that appears regularly and contains articles on various subjects, typically academic or professional.;kind
PerlocutionaryAct;mode;85;The effect achieved by a speaker's utterance on the listener.;kind
Permanent;phase;124;Lasting or intended to last or remain unchanged indefinitely.;quality
Permanently Closed;phaseMixin;122;A state indicating that something is closed and will not reopen.;phaseMixin
Permission Grant;relator;71;The act of granting permission for something.;event
Permission Grant Contract;subkind;71;A legally binding agreement granting permission for a specific activity.;kind
Permission Tender;subkind;71;A tender for obtaining a permission.;subkind
Permission Tender in Auction;role;71;A permission tender being awarded through an auction.;roleMixin
Permission Tender in External Phase;role;71;A permission tender that is in a phase involving external parties.;phase
Permissionária;role;81;;None
Permissão;kind;81;;None
Perofrmed Specific Process;event;30;A specific process that has been performed. unclear if this is distinct from Performed Process;phase
Perpetration by commission;subkind;63;The act of committing a harmful act directly or actively, as opposed to by omission.;situation
Perpetration by ommission;subkind;63;The act of committing a harmful act by failing to do something that is expected or required, especially by law.;situation
Perpetrator;role;74;A person who carries out a harmful, illegal, or immoral act.;role
Person;mode;88;A human being.;kind
Person Relationship;relator;63;A relationship between two people.;relator
Person Stakeholder;role;83;A stakeholder who is an individual.;subkind
Person as Lessor;role;59;A person acting in the role of a landlord.;roleMixin
Person as Owner;role;59;A person acting in the role of an owner of a property.;roleMixin
Person as Tenant;role;59;A person acting in the role of a tenant.;roleMixin
PersonUnderECGMonitoring;role;104;A person whose ECG is being monitored.;role
Personal Competence;subkind;62;The ability of an individual to perform a particular task or activity to a specified standard.;subkind
Personal Customer;role;96;An individual who rents a car for personal use.;role
Personal Injury Insurance;relator;110;A type of insurance that covers medical expenses and other losses due to personal injury.;subkind
Personal Relationship;subkind;63;A connection or association between individuals based on personal interactions, shared experiences, or emotional bonds.;subkind
PersonalSupposition;subkind;123;A type of supposition where a term stands for a particular individual or object.;subkind
Personality;mode;126;The human characteristics and traits attributed to a brand, such as friendly, trustworthy, or innovative.;quality
Personnel;subkind;114;People employed by an organization.;collective
Pesagem;relator;81;Weighing (e.g., of vehicles).;event
Pesquisador;role;91;Researcher (in Portuguese), typically a role within an academic or research-oriented context.;role
Pessoa;kind;100;Represents a human being.;kind
Pessoa Credor;role;100;An individual who is owed money (credor).;role
Pessoa Doente;phase;119;A person in a state of illness or poor health.;roleMixin
Pessoa Física;kind;102;A natural person, an individual human being.;kind
Pessoa Jurídica;kind;81;A legal entity, such as a corporation or institution.;kind
Pessoa Morta;phase;119;A person who is deceased.;roleMixin
Pessoa Saudável;phase;119;A person in a state of good health.;roleMixin
Pessoa Viva;phase;119;A person who is alive.;roleMixin
Pessoa com Imóvel;roleMixin;81;;None
Pessoa com ME;phase;119;A person diagnosed with medical death.;roleMixin
Pessoa com PCR;phase;119;A person who has experienced cardiorespiratory arrest.;roleMixin
Pessoa com TAC;roleMixin;81;;None
Petrographic Composition;quality;52;The description and classification of rocks based on the minerals they contain and their textures.;quality
PhD;subkind;56;A doctorate-level academic degree, typically requiring extensive research and a dissertation.;subkind
Phase;kind;18;A distinct stage in a process or series of events. Implies a temporal aspect.;kind
PhaseWithModule;role;18;A 'Phase' that incorporates or utilizes a 'Module'.;subkind
Philosopher-king;role;28;A ruler who is also a philosopher.;role
Photo;kind;60;An image captured by a camera or similar device.;kind
Photograph;kind;115;An image created by recording light or other electromagnetic radiation.;kind
PhotographAutorship;relator;115;The relationship between a photographer and a photograph, indicating authorship.;relator
Photographer;role;115;A person who takes photographs.;role
Photography;subkind;10;The art or practice of taking and processing photographs.;kind
Physical Agent;category;62;An agent that has a physical body.;subkind
Physical Consequence;subkind;63;;None
Physical Media;category;103;Tangible storage devices like tapes, disks, or other media for data storage.;kind
Physical Media Component;role;103;;None
Physical Media Input;kind;103;;None
Physical Media Layer Component;roleMixin;103;;None
Physical Media Layer Network;subkind;103;;None
Physical Media Layer Termination;subkind;103;;None
Physical Media Object;category;63;;None
Physical Media Output;kind;103;;None
Physical Module;subkind;108;A module that corresponds to a physical file or directory.;subkind
Physical Monetary Object;roleMixin;41;A tangible object that serves as a medium of exchange, such as coins or banknotes.;subkind
Physical Object;kind;93;A material thing that can be seen and touched.;category
Physical Weathering;event;52;The geological process of rocks breaking apart without changing their chemical composition.;subkind
PhysicalAgent;HumanAgent;79;An agent that has a physical embodiment or presence in the world.;roleMixin
PhysicalChannel;subkind;47;A channel that involves physical interaction or presence, such as a brick-and-mortar store.;subkind
PhysicalExam;subkind;90;A hands-on examination of a patient's body to assess their physical health.;subkind
PhysicalQualitySpace;datatype;115;A range or scale for describing and measuring physical qualities.;quality
PhysicalQualityState;event;115;The state or condition of a physical quality.;situation
PhysicalQualityStateOfSpatialEntityDuringAppleHandling;event;115;The state of a physical quality of a spatial entity during apple handling.;situation
Physician;role;105;A person qualified to practice medicine.;role
PhytophysiognomicRegion;category;118;A region defined by its vegetation and physical characteristics.;kind
PhytophysiognomicRegionType;type;118;A classification of phytophysiognomic regions.;type
Pick-up and Delivery;kind;7;A game mechanic where players transport goods or resources between locations, often optimizing routes and managing logistics.;kind
Pista Reversível;subkind;81;A reversible lane.;kind
Pista de Rolamento;kind;81;;None
Pista de Rolamento Multipista;subkind;81;;None
Place;category;122;A particular position or point in space.;kind
Placement;relator;105;The action of putting something in a particular place or position.;kind
Plan Description;category;68;A detailed account or representation of a plan.;kind
Plan Event Tree;event;80;A graphical representation used in planning that outlines possible events and their consequences, showing different branches of outcomes.;kind
Plane;kind;50;An aircraft that has a fixed wing and is powered by propellers or jets.;kind
Plane Ticket;subkind;50;A ticket that allows a person to travel on a plane.;subkind
Planned;phaseMixin;68;Conceived, devised, or arranged in advance.;phase
Planned Activity;phase;84;A specific action or task that is intended to be carried out as part of a plan or project.;kind
Planned Issue;phase;49;An issue that is anticipated or identified in advance.;phase
Planned NC;role;49;A noncompliance that is anticipated or identified in advance.;phase
Planned Schedule;mode;84;A predetermined timeframe outlining the intended execution of tasks or activities.;kind
Planning;category;22;The process of devising a strategy or plan of action, often a phase or stage in some games.;phaseMixin
Planning Period;kind;114;A specific timeframe used for planning and budgeting purposes.;kind
Planning and Control Policy;kind;80;A set of guidelines or rules that govern the planning and control of economic activities or processes.;kind
Plano de Trabalho;kind;81;;None
Plano de trabalho;kind;91;;None
Plano de trabalho AP;subkind;91;Work plan specifically for Active Pedagogy (AP), outlining activities, resources, and objectives for active learning.;subkind
Plant;category;118;A living organism of the kind exemplified by trees, shrubs, herbs, grasses, ferns, and mosses.;kind
Plant Health Inspector;subkind;5;An inspector specializing in plant health and disease control.;subkind
Planta Topográfica do Local;kind;81;;None
Planta do Imóvel;kind;81;;None
Plataforma;category;95;Portuguese for Platform;kind
Platform;category;95;The underlying hardware or software infrastructure that supports a system or application.;kind
Platforms;enumeration;16;Underlying hardware or software environments on which systems or applications run, providing specific capabilities and constraints.;kind
Player;role;22;A person who interacts with a game, typically controlling a character or element.;role
Player Action;event;27;A specific action or move made by a player during a game.;event
Player Elimination;kind;7;A game mechanic where players can be removed from the game, often permanently, due to specific conditions or actions.;kind
Playing patterns;category;7;;None
Pleasure;subkind;51;;None
PoP;kind;66;This likely refers to 'Proof of Possession,' a term used in security contexts (especially cybersecurity). It indicates a method of authentication where someone proves they have rightful possession of a specific item, often a cryptographic key or token.;mode
Podcast;kind;55;A digital audio file made available on the internet for downloading.;kind
Poder Público;kind;81;;None
Point;subkind;121;A specific location in space.;kind
Point-toPointMovement;kind;7;A movement mechanic where pieces or characters move along predefined paths or between specific points on a board or map.;kind
Policy;kind;6;A set of principles, rules, or guidelines adopted by an organization to guide decision-making and achieve desired outcomes.;kind
Political Society;subkind;70;A society organized around the exercise of political authority and governance.;subkind
PoliticalOffice;kind;51;A position of authority or responsibility within a government or political system.;role
Politician;role;51;A person who is professionally involved in politics.;role
Politics;subkind;51;The activities associated with the governance of a country or other area, especially the debate or conflict among individuals or parties having or hoping to achieve power.;kind
Polity;subkind;51;A form of government, particularly a state or its structure and organization. Often used by Aristotle to describe a well-governed state.;kind
Polygon;subkind;14;A plane figure with at least three straight sides and angles, and typically five or more.;kind
Ponte;kind;81;;None
Ponte Estaiada;subkind;81;;None
Ponte Estática;subkind;81;;None
Ponte Ferroviária;subkind;81;;None
Ponte Ideal;phase;81;;None
Ponte Móvel;subkind;81;;None
Ponte Rodoviária;subkind;81;;None
Ponte Suspensa;subkind;81;A suspension bridge.;kind
Ponte Utilitária;subkind;81;;None
Ponte com Defeito;phase;81;;None
Ponte em Arco;subkind;81;;None
Ponte em Caixão;subkind;81;;None
Ponte em Laje;subkind;81;A slab bridge.;kind
Ponte em Treliça;subkind;81;;None
Ponte em Viga;subkind;81;;None
Ponto Espacial;kind;81;;None
Ponto Linear;kind;81;;None
Pool Building;kind;7;A game mechanic where players collect or manage a set of resources, units, or elements to leverage for actions or victory.;kind
Pope;role;9;The Bishop of Rome as head of the Roman Catholic Church.;role
Popular Occupation;mode;55;An occupation that is in high demand or highly sought after.;roleMixin
Popular Selection;kind;55;A selection that is popular or frequently chosen.;roleMixin
Population;kind;70;All the inhabitants of a particular town, area, or country.;collective
Pore Filling;relator;52;The material that occupies the pores within a rock or sediment, such as water, air, or minerals.;role
Pore Fluid;roleMixin;52;Fluid occupying the spaces within a porous material, such as a rock or sediment.;subkind
Pore Water;role;52;Water that occupies the pores within a rock or sediment.;subkind
Porosity;quality;31;The percentage of void space in a rock, indicating its ability to store fluids.;quality
Portability;roleMixin;120;The ease with which a system can be transferred and used in different environments or platforms.;quality
Portaria;subkind;81;;None
Position;kind;5;A specific job role within an organization.;kind
Positioning;mode;126;The place a brand occupies in the minds of its target audience relative to competitors.;situation
Positive Consequence On Agent;subkind;63;;None
Posse de Ação;relator;81;A legal term referring to the right to take legal action or to enforce a right in a court of law.;relator
Posse de Quota;relator;81;;None
Possible Bi LC Connected RP;category;103;;None
Possible Egress LC;roleMixin;103;;None
Possible Human Rights Violation;phase;63;;None
Possible Ingress LC;roleMixin;103;A possible ingress point for a logical component (LC).;role
Possible LC Connected RP;category;103;;None
Possibly Problematic Recommendation;subkind;29;A recommendation that is flagged as potentially having issues or requiring further review.;roleMixin
Post Graduate Student;role;110;A student pursuing a master's or doctoral degree after completing a bachelor's degree.;subkind
Postcondition;role;40;A condition that must be true after the execution of a use case, operation, or system transition.;situation
Posto da PRF;subkind;81;;None
Posto de Fiscalização Fazendária;subkind;81;;None
Posto de Fiscalização Rodoviária;subkind;81;;None
Posto de Fiscalização da ANTT;subkind;81;;None
Posto de Fiscalização de OC;subkind;81;An inspection station for Operational Control.;kind
Posto de Pedágio;subkind;81;A toll plaza.;kind
Posto de Pesagem Veicular;subkind;81;;None
Potential Competition;relator;35;The possibility of new competitors entering a market, posing a threat to existing businesses.;situation
Potential Competitor;roleMixin;35;An entity that is not currently a competitor in a market but has the potential to enter and compete.;role
Potentiality;relator;51;"The quality of having potential; the inherent capacity for development or future activity. A key concept alongside actuality in Aristotle's metaphysics.";phase
Power;kind;95;Electrical energy supply.;kind
Power Distributor;subkind;95;A device that distributes electrical power to multiple outlets.;kind
Power of Attorney;role;71;A legal document granting authority to one person to act on behalf of another.;kind
PracticalMind;subkind;51;The aspect of the mind concerned with deliberation, choice, and action.;subkind
PracticalScience;subkind;123;A body of knowledge or skills pertaining to a particular activity or field, often with a practical application.;subkind
PracticalSciences;kind;51;Sciences that deal with the application of knowledge to practical problems.;subkind
PracticalWisdom;subkind;51;The ability to make sound judgments about practical matters.;quality
Praça Bidirecional;subkind;81;;None
Praça Unidirecional;subkind;81;A one-way plaza.;kind
Praça de Pedágio;subkind;81;;None
Praça de Pedágio Autorizada;role;81;;None
Praça de Pedágio Auxiliar;subkind;81;;None
Pre-generation;situation;31;The stage in hydrocarbon formation before significant generation of oil or gas occurs.;phase
Preamble;kind;82;An introductory statement in a document that explains its purpose.;subkind
Precedent;kind;88;An earlier event or action that is regarded as an example or guide to be considered in subsequent similar circumstances.;kind
Precipitation;subkind;14;Any form of water that falls from clouds and reaches Earth's surface.;quantity
Precondition;role;40;A condition that must be true before a use case, operation, or system transition can begin.;situation
Predicate;subkind;51;The part of a sentence or clause containing a verb and stating something about the subject.;kind
Preference;quality;72;A greater liking for one alternative over another or others.;quality
Preferred Bearer;roleMixin;61;An entity that is preferred to bear or possess something.;roleMixin
PregnantWoman;phase;64;A woman who is pregnant.;subkind
PreliminaryDesign;event;92;An initial or preliminary design.;kind
Premise;role;51;A proposition antecedently supposed or proved as a basis of argument or inference.;kind
PremoduDevelopment;event;92;The development of prefabricated modules. (Assuming this is the intended meaning);event
PrescribedDoseSchedule;role;90;A schedule for administering doses of medication as prescribed by a doctor.;roleMixin
PrescribedDrug;role;90;;None
Prescription;relator;90;A written direction by a physician for the preparation and administration of a medicine or treatment.;kind
PresenceMedicalProcedure;subkind;90;;None
Present;phase;51;The time now passing.;phase
PresentName;phase;28;The current name of something or someone.;subkind
Presentation;mode;126;The way a brand presents itself to the public, including its visual identity, messaging, and communication style.;mode
PresentationFormat;enumeration;85;The way in which information is presented or displayed.;kind
Press Your Luck;kind;7;;None
PressureMarkInApple;mode;115;A mark on an apple caused by pressure.;kind
Preventive Action;subkind;49;A measure taken to prevent a noncompliance or problem from occurring.;kind
PreviousIllness;subkind;90;A medical condition that a patient has experienced in the past.;roleMixin
Preâmbulo;kind;81;;None
Price;quality;41;The amount of money that something costs or is worth.;quantity
Pricing;relator;41;The process of determining the price of a product or service.;event
Pride;subkind;7;A sense of deep satisfaction derived from one's own achievements, contributing to player motivation.;subkind
Priest;role;9;An ordained minister of the Catholic, Orthodox, or Anglican Churches, authorized to perform certain rites and administer sacraments.;subkind
Primary Key Column;role;131;A column in a database table that uniquely identifies each row in that table.;role
Primary Key Constraint;subkind;131;A rule that ensures data in a specific column (or set of columns) is unique and not null, acting as a primary identifier for rows in a table.;subkind
Primary Key Mapping;relator;2;The process of mapping the primary key of an entity in the application code to the corresponding primary key column in a database table.;relator
PrimeMatter;subkind;51;In Aristotelian metaphysics, the formless substratum underlying all material existence.;kind
Primitive Type;subkind;108;A basic data type provided by a programming language (e.g., int, float, boolean).;subkind
Primo;role;81;;None
Principal;collective;70;A person with the highest authority or most important position in an organization, institution, or group.;role
Principle of Provenance;kind;10;An archival principle that stresses the importance of documenting the origins and custody of archival materials.;quality
Principle of Respect for Original Order;kind;10;An archival principle emphasizing the importance of preserving the original order of documents within a collection.;quality
PriorityLevel;datatype;46;The level of importance or urgency assigned to something.;quality
Private Interaction;subkind;55;An interaction or engagement that is not visible to the general public.;subkind
Private Intimate Media Accessing;relator;74;;None
Private Intimate Media Object;category;74;;None
Private Intimate Media Object without Consent;roleMixin;74;;None
Private Media Object's Uploading;relator;74;;None
PrivateLocation;subkind;118;A location that is not open to the public.;subkind
PrivateProperty;subkind;28;Property that is owned by an individual or corporation, rather than by the state or community.;subkind
Problem;kind;88;A question or issue that needs to be addressed or resolved through research.;kind
Problem Action Item;relator;49;A specific task or action that needs to be completed to address a problem.;kind
Problem Issue;role;49;An issue or concern specifically related to a problem.;kind
Problem Solution;goal;21; A means of overcoming a difficulty or addressing a need, often through the application of resources, actions, or knowledge.;kind
Problematic Concetp;subkind;29;A concept that is unclear, ambiguous, or otherwise problematic.;roleMixin
Problematic Recommendation;subkind;29;A recommendation that has issues or is considered flawed.;roleMixin
Procedimento Executivo;kind;81;;None
Procedure;category;83;A defined sequence of steps or actions to be followed in a specific order.;kind
Procedure Participation;event;83;The involvement or engagement of a procedure in a particular activity or process.;relator
Proceedings;subkind;127;An event or a series of activities involving a formal or set procedure.;kind
Process;relator;19;A series of actions or steps taken to achieve a particular end.;process
Process Contract;kind;93;A smart contract that automates and enforces the execution of a business process, defining the rules and interactions.;kind
Process Evaluation;event;98;The assessment of a process against defined criteria.;event
Process Evaluation Criteria;subkind;49;A set of standards or benchmarks used to assess the effectiveness and efficiency of a process.;kind
Process Occurrence;mode;49;An instance or execution of a process.;event
Process Participant;roleMixin;93;An entity or actor that plays a role in a business process, contributing to its execution or being affected by its outcomes.;role
Process Universal;type;83;A fundamental or abstract representation of a process, independent of any specific domain or context.;category
Processo;relator;100;A series of actions or steps taken in order to achieve a particular end.;kind
Processo Execucão;relator;100;The process of carrying out or executing something.;subkind
Processo Licitatório;relator;100;The process of competitive bidding (licitacão).;subkind
ProcurementSchedule;subkind;92;A schedule for procurement activities.;kind
ProducerPerson;role;28;In Plato's Republic, the producers are the working class, responsible for producing goods and services.;role
Producers;collective;28;People or companies that make goods or provide services.;collective
Product;category;92;Something that is manufactured or produced for sale.;kind
ProductDevelopment;event;92;;None
ProductModel;category;92;A model of a product.;kind
ProductOrServiceModel;category;92;A model of a product or service.;kind
Production;relator;6;The process of transforming raw materials or components into finished goods or products.;relator
Production Volume;kind;114;The number of units produced during a specific period.;quantity
Production_Evolution_States;category;24;Distinct stages or phases in the development and yield of a crop over time.;phase
ProductiveSciences;kind;51;Sciences aimed at making or producing things, such as engineering or crafts.;subkind
Produto;category;81;;None
Produto Adquirido em Convênio;roleMixin;81;A product acquired through an agreement.;kind
Produto Cotado;role;81;;None
Produto Cotado Coletivamente;role;81;;None
Produto Cotado Individualmente;role;81;;None
Produto Solicitado;role;81;A requested product.;kind
Produtor;roleMixin;81;A producer.;role
Produtor de Serviço;role;81;;None
Professional Relationship;subkind;63;;None
Professor;role;91;Teacher (in Portuguese), a person who facilitates learning and guides students in an educational setting.;role
Professor Contract;relator;58;A formal agreement outlining the terms of employment for a professor.;kind
ProfessorMandate;relator;42;The responsibilities and duties of a professor.;roleMixin
Proficiency Levels;enumeration;16;Degrees of expertise or skill in a specific area or task, often categorized into levels (e.g., novice, competent, proficient).;subkind
Proficiency level;kind;16;The level of skill or expertise an individual possesses in a particular area or task.;quality
Profile;kind;15;A record or display of a person's information and characteristics.;kind
Profissional de Saúde;role;77;A trained and licensed individual who provides healthcare services, such as a doctor, nurse, or therapist.;role
Program;kind;108;A set of instructions that a computer follows to perform a specific task or set of tasks.;kind
Program File;category;113;A digital file containing a set of instructions that can be executed by a computer.;subkind
Program increment;subkind;16;A timeboxed period during which an Agile team delivers a set of planned features or functionalities.;phase
Programa;kind;100;A planned series of events or activities with a specific aim.;kind
Programa de Exploração da Rodovia;kind;81;;None
Programming Language;subkind;108;A formal language used to write instructions for a computer.;kind
Programming environment;kind;16;A comprehensive set of tools and software used for developing, testing, and debugging computer programs.;kind
Programming framework;kind;16;A reusable software structure that provides a foundation for developing applications, offering standardized components and design patterns.;kind
Programming langauge;kind;16;A formal language used to write instructions for a computer to execute.;kind
Project;kind;49;A temporary endeavor undertaken to create a unique product, service, or result.;kind
Project Participant;role;76;An individual involved in a particular project.;role
Project Participation;relator;76;The act of participating in a project.;relator
Project Process;kind;49;A defined sequence of activities or tasks performed within the context of a project.;subkind
Project Stakeholder;roleMixin;83;An individual or group with an interest or concern in a particular project.;subkind
Project Standard Process;type;83;A standardized process specifically designed for use in project management.;subkind
Project(p);kind;116;A project that is part of a course.;kind
ProjectDevelopment;event;92;The process of developing a project.;event
Projeto Básico;kind;81;;None
Projeto Executivo;kind;81;;None
Projeto as Built;kind;81;;None
